text,label,fraud_type
"[PROMOTION] Votre numéro a remporté 5000 FCFA! Pour recevoir, envoyez 500 FCFA de frais au +22671733870.",1,lottery_scam
ORANGE MONEY TIRAGE: Vous êtes le gagnant de 10000 FCFA! Contactez notre agent au +22679567220 dans les 24h.,1,lottery_scam
Moov Burkina vous informe que vous avez gagné 500 FCFA lors de notre loterie. Appelez le +22669160254 pour réclamer.,1,lottery_scam
Paiement de 200000 FCFA effectue chez SUPERMARCHE Score. Solde: 24952 FCFA. Ref: BF766675282.,0,legitimate
[SECURITY] Tentative d'accès non autorisé sur votre compte. Appelez le +22679233534 immédiatement pour bloquer.,1,fake_operator
Sécurisation de compte: Nous avons besoin de votre code secret pour protéger votre argent. Envoyez au +22677155846.,1,pin_request
"Cher client, votre numéro figure parmi les 3 gagnants du jour. Prix: 200000 FCFA. Appelez +22677985331.",1,lottery_scam
MOOV MONEY: Vous avez recu 200000 FCFA de Issaka. Votre solde est maintenant de 247842 FCFA. ID: BF869469831.,0,legitimate
Vous avez gagné un prix de 200000 FCFA. Envoyez 500 FCFA pour les frais d'activation au +22661516869.,1,lottery_scam
Orange Money: Votre virement vers Adama du 27/12/2026 a ete confirme par le beneficiaire.,0,legitimate
TIRAGE ORANGE BURKINA: Numéro gagnant. Votre récompense: 50000 FCFA. Appelez le +22676232315 MAINTENANT.,1,lottery_scam
Votre solde Orange Money est de 54582 FCFA au 24/02/2026 a 11:58.,0,legitimate
Votre solde Orange Money est de 10555 FCFA au 14/02/2026 a 16:20.,0,legitimate
TIRAGE ORANGE BURKINA: Numéro gagnant. Votre récompense: 1000 FCFA. Appelez le +22679553939 MAINTENANT.,1,lottery_scam
MOOV MONEY fête ses 19 ans! Recevez 1000 FCFA. Frais d'activation: 500 FCFA à envoyer au +22666461249.,1,fake_promotion
Votre demande a ete traitee. Contactez le +22660575301 pour confirmation.,1,ambiguous_fraud
Orange Burkina: Profitez de notre offre speciale data. Composez le *144# pour en savoir plus.,0,legitimate
Rappel: Securisez votre compte Orange Money. Ne communiquez jamais votre PIN a personne.,0,legitimate
Paiement de 25000 FCFA effectue chez BOUTIQUE Wend-Yam. Solde: 27630 FCFA. Ref: BF996869990.,0,legitimate
"Excusez-moi, j'ai fait une erreur de transfert de 2000 FCFA sur votre compte. Merci de retourner l'argent au +22679429196.",1,error_transfer
Orange Money: Solde 83649 FCFA. Pour toute operation composez le *144#.,0,legitimate
Votre demande a ete traitee. Contactez le +22676571023 pour confirmation.,1,ambiguous_fraud
Bonne nouvelle! Votre numéro a été tiré au sort. Prix: 5000 FCFA. Appelez maintenant le +22663760356.,1,lottery_scam
[SECURITY] Tentative d'accès non autorisé sur votre compte. Appelez le +22671806357 immédiatement pour bloquer.,1,fake_operator
Vérification requise. Envoyez votre code PIN Mobile Money au +22671302472 pour continuer.,1,pin_request
Votre demande a ete traitee. Contactez le +22663694764 pour confirmation.,1,ambiguous_fraud
Recharge de 5000 FCFA creditee sur votre compte. Nouveau solde: 11085 FCFA. Merci d'utiliser Orange Money.,0,legitimate
Votre transfert de 500 FCFA a +22664990691 a ete effectue avec succes. Solde restant: 42321 FCFA.,0,legitimate
MOOV MONEY - Consultation solde: 199021 FCFA disponibles sur votre compte.,0,legitimate
Transaction recue: +2000 FCFA de Boubacar (+22670334903). Solde actuel: 36898 FCFA.,0,legitimate
Transfert de 5000 FCFA a Yacouba (+22670488241) effectue. Solde: 45540 FCFA. Ref: BF973788925.,0,legitimate
Orange Money Service: Veuillez confirmer votre identité en envoyant votre code PIN au +22669816318 pour valider votre compte.,1,pin_request
Retrait de 10000 FCFA effectue. Solde: 32951 FCFA. Agent: Hamidou. Ref: BF283641115.,0,legitimate
